Price,Open
Ticker,GBPEUR=X
2022-01-01,1.188730001449585
2022-01-02,1.188730001449585
2022-01-03,1.188730001449585
2022-01-04,1.1928199529647827
2022-01-05,1.1990300416946411
2022-01-06,1.198259949684143
2022-01-07,1.1979899406433105
2022-01-08,1.1969399452209473
2022-01-09,1.1969399452209473
2022-01-10,1.1969399452209473
2022-01-11,1.198199987411499
2022-01-12,1.1992499828338623
2022-01-13,1.1980299949645996
2022-01-14,1.1965999603271484
2022-01-15,1.1980500221252441
2022-01-16,1.1980500221252441
2022-01-17,1.1980500221252441
2022-01-18,1.1960099935531616
2022-01-19,1.2002999782562256
2022-01-20,1.1996300220489502
2022-01-21,1.2018300294876099
2022-01-22,1.1951500177383423
2022-01-23,1.1951500177383423
2022-01-24,1.1951500177383423
2022-01-25,1.190999984741211
2022-01-26,1.195099949836731
2022-01-27,1.1979800462722778
2022-01-28,1.201050043106079
2022-01-29,1.2017099857330322
2022-01-30,1.2017099857330322
2022-01-31,1.2017099857330322
2022-02-01,1.1970100402832031
2022-02-02,1.1995400190353394
2022-02-03,1.200279951095581
2022-02-04,1.1890000104904175
2022-02-05,1.1813499927520752
2022-02-06,1.1813499927520752
2022-02-07,1.1813499927520752
2022-02-08,1.1832200288772583
2022-02-09,1.1861200332641602
2022-02-10,1.1848700046539307
2022-02-11,1.1872600317001343
2022-02-12,1.1938199996948242
2022-02-13,1.1938199996948242
2022-02-14,1.1938199996948242
2022-02-15,1.1968799829483032
2022-02-16,1.1923799514770508
2022-02-17,1.1941200494766235
2022-02-18,1.1979700326919556
2022-02-19,1.2008899450302124
2022-02-20,1.2008899450302124
2022-02-21,1.2008899450302124
2022-02-22,1.201990008354187
2022-02-23,1.1993600130081177
2022-02-24,1.1980600357055664
2022-02-25,1.1948000192642212
2022-02-26,1.1956700086593628
2022-02-27,1.1956700086593628
2022-02-28,1.1956700086593628
2022-03-01,1.1967699527740479
2022-03-02,1.197700023651123
2022-03-03,1.2053200006484985
2022-03-04,1.206339955329895
2022-03-05,1.2149200439453125
2022-03-06,1.2149200439453125
2022-03-07,1.2149200439453125
2022-03-08,1.2067300081253052
2022-03-09,1.2018799781799316
2022-03-10,1.1908999681472778
2022-03-11,1.1897599697113037
2022-03-12,1.1935700178146362
2022-03-13,1.1935700178146362
2022-03-14,1.1935700178146362
2022-03-15,1.1885000467300415
2022-03-16,1.1893199682235718
2022-03-17,1.1920900344848633
2022-03-18,1.185629963874817
2022-03-19,1.1917500495910645
2022-03-20,1.1917500495910645
2022-03-21,1.1917500495910645
2022-03-22,1.195180058479309
2022-03-23,1.2029500007629395
2022-03-24,1.1998100280761719
2022-03-25,1.1984399557113647
2022-03-26,1.1994199752807617
2022-03-27,1.1994199752807617
2022-03-28,1.1994199752807617
2022-03-29,1.1918200254440308
2022-03-30,1.1803799867630005
2022-03-31,1.176900029182434
2022-04-01,1.186900019645691
2022-04-02,1.186400055885315
2022-04-03,1.186400055885315
2022-04-04,1.186400055885315
2022-04-05,1.1947599649429321
2022-04-06,1.1989799737930298
2022-04-07,1.1991499662399292
2022-04-08,1.2028199434280396
2022-04-09,1.1971399784088135
2022-04-10,1.1971399784088135
2022-04-11,1.1971399784088135
2022-04-12,1.197100043296814
2022-04-13,1.2009400129318237
2022-04-14,1.203969955444336
2022-04-15,1.2072900533676147
2022-04-16,1.2072099447250366
2022-04-17,1.2072099447250366
2022-04-18,1.2072099447250366
2022-04-19,1.2065600156784058
2022-04-20,1.2055000066757202
2022-04-21,1.2044299840927124
2022-04-22,1.2020900249481201
2022-04-23,1.1867200136184692
2022-04-24,1.1867200136184692
2022-04-25,1.1867200136184692
2022-04-26,1.188979983329773
2022-04-27,1.1822099685668945
2022-04-28,1.1881799697875977
2022-04-29,1.1864999532699585
2022-04-30,1.1932300329208374
2022-05-01,1.1932300329208374
2022-05-02,1.1932300329208374
2022-05-03,1.1891599893569946
2022-05-04,1.187440037727356
2022-05-05,1.1878399848937988
2022-05-06,1.1729799509048462
2022-05-07,1.1702500581741333
2022-05-08,1.1702500581741333
2022-05-09,1.1702500581741333
2022-05-10,1.1677099466323853
2022-05-11,1.168779969215393
2022-05-12,1.1636899709701538
2022-05-13,1.1756000518798828
2022-05-14,1.1785399913787842
2022-05-15,1.1785399913787842
2022-05-16,1.1785399913787842
2022-05-17,1.1805299520492554
2022-05-18,1.1835800409317017
2022-05-19,1.1787300109863281
2022-05-20,1.1779099702835083
2022-05-21,1.1828800439834595
2022-05-22,1.1828800439834595
2022-05-23,1.1828800439834595
2022-05-24,1.176419973373413
2022-05-25,1.1680999994277954
2022-05-26,1.1775799989700317
2022-05-27,1.1754599809646606
2022-05-28,1.1766300201416016
2022-05-29,1.1766300201416016
2022-05-30,1.1766300201416016
2022-05-31,1.173799991607666
2022-06-01,1.1745699644088745
2022-06-02,1.1717000007629395
2022-06-03,1.169950008392334
2022-06-04,1.1645900011062622
2022-06-05,1.1645900011062622
2022-06-06,1.1645900011062622
2022-06-07,1.1711000204086304
2022-06-08,1.176609992980957
2022-06-09,1.169700026512146
2022-06-10,1.1763399839401245
2022-06-11,1.170050024986267
2022-06-12,1.170050024986267
2022-06-13,1.170050024986267
2022-06-14,1.165969967842102
2022-06-15,1.150629997253418
2022-06-16,1.1642099618911743
2022-06-17,1.1712100505828857
2022-06-18,1.1653900146484375
2022-06-19,1.1653900146484375
2022-06-20,1.1653900146484375
2022-06-21,1.1644999980926514
2022-06-22,1.1644999980926514
2022-06-23,1.1596399545669556
2022-06-24,1.1653300523757935
2022-06-25,1.1622899770736694
2022-06-26,1.1622899770736694
2022-06-27,1.1622899770736694
2022-06-28,1.159000039100647
2022-06-29,1.158229947090149
2022-06-30,1.16103994846344
2022-07-01,1.1605099439620972
2022-07-02,1.1598299741744995
2022-07-03,1.1598299741744995
2022-07-04,1.1598299741744995
2022-07-05,1.1610100269317627
2022-07-06,1.1647299528121948
2022-07-07,1.1706199645996094
2022-07-08,1.1828099489212036
2022-07-09,1.181879997253418
2022-07-10,1.181879997253418
2022-07-11,1.181879997253418
2022-07-12,1.1843299865722656
2022-07-13,1.183940052986145
2022-07-14,1.1823500394821167
2022-07-15,1.1806000471115112
2022-07-16,1.1773699522018433
2022-07-17,1.1773699522018433
2022-07-18,1.1773699522018433
2022-07-19,1.177590012550354
2022-07-20,1.1730600595474243
2022-07-21,1.175469994544983
2022-07-22,1.1735299825668335
2022-07-23,1.1750099658966064
2022-07-24,1.1750099658966064
2022-07-25,1.1750099658966064
2022-07-26,1.179029941558838
2022-07-27,1.1881599426269531
2022-07-28,1.1916099786758423
2022-07-29,1.1942499876022339
2022-07-30,1.1919900178909302
2022-07-31,1.1919900178909302
2022-08-01,1.1919900178909302
2022-08-02,1.194100022315979
2022-08-03,1.195539951324463
2022-08-04,1.1948800086975098
2022-08-05,1.1862900257110596
2022-08-06,1.1855000257492065
2022-08-07,1.1855000257492065
2022-08-08,1.1855000257492065
2022-08-09,1.1849499940872192
2022-08-10,1.1821000576019287
2022-08-11,1.185539960861206
2022-08-12,1.1814899444580078
2022-08-13,1.1825400590896606
2022-08-14,1.1825400590896606
2022-08-15,1.1825400590896606
2022-08-16,1.1863199472427368
2022-08-17,1.1893999576568604
2022-08-18,1.1833499670028687
2022-08-19,1.1825300455093384
2022-08-20,1.177549958229065
2022-08-21,1.177549958229065
2022-08-22,1.177549958229065
2022-08-23,1.1836800575256348
2022-08-24,1.1868699789047241
2022-08-25,1.1827800273895264
2022-08-26,1.185670018196106
2022-08-27,1.1764800548553467
2022-08-28,1.1764800548553467
2022-08-29,1.1764800548553467
2022-08-30,1.1708500385284424
2022-08-31,1.1629400253295898
2022-09-01,1.1551799774169922
2022-09-02,1.160290002822876
2022-09-03,1.1578500270843506
2022-09-04,1.1578500270843506
2022-09-05,1.1578500270843506
2022-09-06,1.1619999408721924
2022-09-07,1.1629199981689453
2022-09-08,1.152340054512024
2022-09-09,1.1505000591278076
2022-09-10,1.1535799503326416
2022-09-11,1.1535799503326416
2022-09-12,1.1535799503326416
2022-09-13,1.1539100408554077
2022-09-14,1.1527899503707886
2022-09-15,1.1563700437545776
2022-09-16,1.1464300155639648
2022-09-17,1.1406300067901611
2022-09-18,1.1406300067901611
2022-09-19,1.1406300067901611
2022-09-20,1.1408300399780273
2022-09-21,1.1412700414657593
2022-09-22,1.1448400020599365
2022-09-23,1.144700050354004
2022-09-24,1.1144299507141113
2022-09-25,1.1144299507141113
2022-09-26,1.1144299507141113
2022-09-27,1.1191999912261963
2022-09-28,1.1176300048828125
2022-09-29,1.1159100532531738
2022-09-30,1.1360700130462646
2022-10-01,1.1373399496078491
2022-10-02,1.1373399496078491
2022-10-03,1.1373399496078491
2022-10-04,1.152609944343567
2022-10-05,1.146780014038086
2022-10-06,1.1455600261688232
2022-10-07,1.1400799751281738
2022-10-08,1.1372400522232056
2022-10-09,1.1372400522232056
2022-10-10,1.1372400522232056
2022-10-11,1.140529990196228
2022-10-12,1.1304999589920044
2022-10-13,1.1437699794769287
2022-10-14,1.156790018081665
2022-10-15,1.1543200016021729
2022-10-16,1.1543200016021729
2022-10-17,1.1543200016021729
2022-10-18,1.1532000303268433
2022-10-19,1.1499099731445312
2022-10-20,1.1477299928665161
2022-10-21,1.147379994392395
2022-10-22,1.1504100561141968
2022-10-23,1.1504100561141968
2022-10-24,1.1504100561141968
2022-10-25,1.1436200141906738
2022-10-26,1.1502799987792969
2022-10-27,1.1530799865722656
2022-10-28,1.1601799726486206
2022-10-29,1.164639949798584
2022-10-30,1.164639949798584
2022-10-31,1.164639949798584
2022-11-01,1.159909963607788
2022-11-02,1.1629999876022339
2022-11-03,1.159500002861023
2022-11-04,1.145650029182434
2022-11-05,1.141160011291504
2022-11-06,1.141160011291504
2022-11-07,1.141160011291504
2022-11-08,1.1495000123977661
2022-11-09,1.1458499431610107
2022-11-10,1.134469985961914
2022-11-11,1.1473699808120728
2022-11-12,1.1422499418258667
2022-11-13,1.1422499418258667
2022-11-14,1.1422499418258667
2022-11-15,1.1385799646377563
2022-11-16,1.1468000411987305
2022-11-17,1.1461800336837769
2022-11-18,1.1444499492645264
2022-11-19,1.1503000259399414
2022-11-20,1.1503000259399414
2022-11-21,1.1503000259399414
2022-11-22,1.154189944267273
