Price,Open
Ticker,GBPBRL=X
2022-01-01,7.531897068023682
2022-01-02,7.531897068023682
2022-01-03,7.531897068023682
2022-01-04,7.6598639488220215
2022-01-05,7.6797661781311035
2022-01-06,7.736159801483154
2022-01-07,7.690870761871338
2022-01-08,7.645259857177734
2022-01-09,7.645259857177734
2022-01-10,7.645259857177734
2022-01-11,7.688891887664795
2022-01-12,7.593100070953369
2022-01-13,7.57575798034668
2022-01-14,7.5786662101745605
2022-01-15,7.558578968048096
2022-01-16,7.558578968048096
2022-01-17,7.558578968048096
2022-01-18,7.527397155761719
2022-01-19,7.567355155944824
2022-01-20,7.3909831047058105
2022-01-21,7.358352184295654
2022-01-22,7.396130084991455
2022-01-23,7.396130084991455
2022-01-24,7.396130084991455
2022-01-25,7.3909831047058105
2022-01-26,7.342144012451172
2022-01-27,7.299270153045654
2022-01-28,7.230658054351807
2022-01-29,7.193150043487549
2022-01-30,7.193150043487549
2022-01-31,7.193150043487549
2022-02-01,7.122507095336914
2022-02-02,7.119846820831299
2022-02-03,7.127583980560303
2022-02-04,7.182498931884766
2022-02-05,7.207483768463135
2022-02-06,7.207483768463135
2022-02-07,7.207483768463135
2022-02-08,7.1243109703063965
2022-02-09,7.12629508972168
2022-02-10,7.077140808105469
2022-02-11,7.1115641593933105
2022-02-12,7.117437839508057
2022-02-13,7.117437839508057
2022-02-14,7.117437839508057
2022-02-15,7.0558857917785645
2022-02-16,6.984190940856934
2022-02-17,6.976675033569336
2022-02-18,7.040672779083252
2022-02-19,6.978366851806641
2022-02-20,6.978366851806641
2022-02-21,6.978366851806641
2022-02-22,6.936714172363281
2022-02-23,6.872176170349121
2022-02-24,6.7750678062438965
2022-02-25,6.839944839477539
2022-02-26,6.896552085876465
2022-02-27,6.896552085876465
2022-02-28,6.896552085876465
2022-03-01,6.924373149871826
2022-03-02,6.877889156341553
2022-03-03,6.831651210784912
2022-03-04,6.706908226013184
2022-03-05,6.685144901275635
2022-03-06,6.685144901275635
2022-03-07,6.685144901275635
2022-03-08,6.700980186462402
2022-03-09,6.62823486328125
2022-03-10,6.608377933502197
2022-03-11,6.56451416015625
2022-03-12,6.615211009979248
2022-03-13,6.615211009979248
2022-03-14,6.615211009979248
2022-03-15,6.657790184020996
2022-03-16,6.735264778137207
2022-03-17,6.670215129852295
2022-03-18,6.6269049644470215
2022-03-19,6.602980136871338
2022-03-20,6.602980136871338
2022-03-21,6.602980136871338
2022-03-22,6.489293098449707
2022-03-23,6.5104169845581055
2022-03-24,6.36132287979126
2022-03-25,6.368104934692383
2022-03-26,6.234414100646973
2022-03-27,6.234414100646973
2022-03-28,6.234414100646973
2022-03-29,6.240929126739502
2022-03-30,6.22541618347168
2022-03-31,6.2617411613464355
2022-04-01,6.218904972076416
2022-04-02,6.102001190185547
