DATE,BRLMXN,EURBRL,EURMXN,EURUSD,GBPBRL,GBPEUR,GBPMXN,GBPUSD,USDBRL,USDMXN
2022-01-01,3.6586999893188477,6.281700134277344,23.292999267578125,1.1373846530914307,7.531897068023682,1.188730001449585,27.69179916381836,1.3522284030914307,5.460599899291992,20.481599807739258
2022-01-02,3.6586999893188477,6.281700134277344,23.292999267578125,1.1373846530914307,7.531897068023682,1.188730001449585,27.69179916381836,1.3522284030914307,5.460599899291992,20.481599807739258
2022-01-03,3.6586999893188477,6.281700134277344,23.292999267578125,1.1373846530914307,7.531897068023682,1.188730001449585,27.69179916381836,1.3522284030914307,5.460599899291992,20.481599807739258
2022-01-04,3.6059000492095947,6.419300079345703,23.162500381469727,1.1301988363265991,7.6598639488220215,1.1928199529647827,27.63050079345703,1.3482794761657715,5.6809000968933105,20.49839973449707
2022-01-05,3.615499973297119,6.398900032043457,23.165700912475586,1.1285407543182373,7.6797661781311035,1.1990300416946411,27.777999877929688,1.353051781654358,5.676000118255615,20.522300720214844
2022-01-06,3.602799892425537,6.454800128936768,23.273300170898438,1.1312217712402344,7.736159801483154,1.198259949684143,27.890100479125977,1.355546236038208,5.707699775695801,20.57084083557129
2022-01-07,3.6064000129699707,6.415999889373779,23.161300659179688,1.129586100578308,7.690870761871338,1.1979899406433105,27.74880027770996,1.3533997535705566,5.680288791656494,20.505599975585938
2022-01-08,3.6150999069213867,6.405900001525879,23.148500442504883,1.135344386100769,7.645259857177734,1.1969399452209473,27.70989990234375,1.3590834140777588,5.631999969482422,20.39069938659668
2022-01-09,3.6150999069213867,6.405900001525879,23.148500442504883,1.135344386100769,7.645259857177734,1.1969399452209473,27.70989990234375,1.3590834140777588,5.631999969482422,20.39069938659668
2022-01-10,3.6150999069213867,6.405900001525879,23.148500442504883,1.135344386100769,7.645259857177734,1.1969399452209473,27.70989990234375,1.3590834140777588,5.631999969482422,20.39069938659668
2022-01-11,3.5952000617980957,6.413700103759766,23.077600479125977,1.1332728862762451,7.688891887664795,1.198199987411499,27.65869140625,1.3581697940826416,5.662099838256836,20.368940353393555
2022-01-12,3.6598000526428223,6.328100204467773,23.173999786376953,1.1370097398757935,7.593100070953369,1.1992499828338623,27.792999267578125,1.3634008169174194,5.568399906158447,20.387100219726562
2022-01-13,3.6779000759124756,6.329500198364258,23.291099548339844,1.1439814567565918,7.57575798034668,1.1980299949645996,27.90559959411621,1.3706891536712646,5.533100128173828,20.360700607299805
2022-01-14,3.676800012588501,6.328999996185303,23.297100067138672,1.14565908908844,7.5786662101745605,1.1965999603271484,27.884899139404297,1.371290683746338,5.527500152587891,20.324499130249023
2022-01-15,3.6677000522613525,6.306600093841553,23.165300369262695,1.1412137746810913,7.558578968048096,1.1980500221252441,27.756099700927734,1.367353081703186,5.531899929046631,20.301000595092773
2022-01-16,3.6677000522613525,6.306600093841553,23.165300369262695,1.1412137746810913,7.558578968048096,1.1980500221252441,27.756099700927734,1.367353081703186,5.531899929046631,20.301000595092773
2022-01-17,3.6677000522613525,6.306600093841553,23.165300369262695,1.1412137746810913,7.558578968048096,1.1980500221252441,27.756099700927734,1.367353081703186,5.531899929046631,20.301000595092773
2022-01-18,3.676300048828125,6.291399955749512,23.15060043334961,1.141291856765747,7.527397155761719,1.1960099935531616,27.692550659179688,1.364800214767456,5.5157999992370605,20.29129981994629
2022-01-19,3.6626999378204346,6.3003997802734375,23.107799530029297,1.1330032348632812,7.567355155944824,1.2002999782562256,27.737600326538086,1.3600815534591675,5.565499782562256,20.396499633789062
2022-01-20,3.770699977874756,6.166900157928467,23.26580047607422,1.134352684020996,7.3909831047058105,1.1996300220489502,27.912099838256836,1.360951542854309,5.43720006942749,20.50200080871582
2022-01-21,3.7857000827789307,6.128799915313721,23.220399856567383,1.1315417289733887,7.358352184295654,1.2018300294876099,27.909372329711914,1.3600261211395264,5.415809154510498,20.522319793701172
2022-01-22,3.7441999912261963,6.187300205230713,23.192100524902344,1.1340954303741455,7.396130084991455,1.1951500177383423,27.71980094909668,1.3554911613464355,5.4558000564575195,20.451370239257812
2022-01-23,3.7441999912261963,6.187300205230713,23.192100524902344,1.1340954303741455,7.396130084991455,1.1951500177383423,27.71980094909668,1.3554911613464355,5.4558000564575195,20.451370239257812
2022-01-24,3.7441999912261963,6.187300205230713,23.192100524902344,1.1340954303741455,7.396130084991455,1.1951500177383423,27.71980094909668,1.3554911613464355,5.4558000564575195,20.451370239257812
2022-01-25,3.7479000091552734,6.208099842071533,23.29509925842285,1.132387399673462,7.3909831047058105,1.190999984741211,27.748699188232422,1.348981499671936,5.486100196838379,20.572900772094727
2022-01-26,3.7841999530792236,6.151199817657471,23.292400360107422,1.130352258682251,7.342144012451172,1.195099949836731,27.83839988708496,1.3510409593582153,5.440295219421387,20.607620239257812
